Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Cristopher Sánchez","PHI",11.9815,9.3861,17.3762,3.47444,30.78,30.78,0,0,179.21,745.776,172.827,76.5822,69.1838,17.3834,50.281,,6.1004,157.046,7.88689,2.52513,3.12336,0.873,0.21058,0.067421,0.1431589424610138,0.250694,1.24495,0.301852,0.737158,0.538346,,3.61867,3.36474,3.7081,180.3300018310547,,,,"20778"
"Joe Ryan","MIN",10.6706,9.5667,15.46,3.75255,29.16,29.16,0,0,169.103,694.47,149.554,75.1894,70.5077,24.7267,39.173,,7.0954,187.96,10.0036,2.08486,4.7982,1.316,0.270652,0.056407,0.21424498036503792,0.230721,1.11604,0.28662,0.736732,0.327803,,3.66518,3.36127,2.87747,98.11000061035156,,,,"21390"
"Aaron Nola","PHI",12.1973,10.5554,18.2373,3.83157,32,32,0,0,195.106,811.589,185.343,89.8907,83.0625,27.2498,46.6696,,6.1705,192.446,8.87732,2.15281,4.12359,1.257,0.237123,0.057504,0.17961899563670158,0.244275,1.18916,0.29328,0.733106,0.428643,,3.82189,3.3523,3.38975,77.44000244140625,,,,"16149"
"George Kirby","SEA",11.1206,10.3518,17.4348,3.50621,30.78,30.78,0,0,180.232,735.343,169.09,76.2375,70.2148,23.0497,27.1952,,7.1696,170.737,8.52584,1.35801,6.2782,1.151,0.232187,0.036983,0.19520387053489685,0.24122,1.08907,0.287939,0.731929,0.411601,,3.50641,3.26744,2.92767,35.439998626708984,,,,"25436"
"Max Fried",,11.1635,9.1174,16.8119,3.38933,29.16,29.16,0,0,170.253,710.275,161.909,70.9173,64.1159,15.8524,48.9869,,6.3648,159.749,8.44472,2.58957,3.26105,0.838,0.224911,0.0689689,0.15594197809696198,0.247218,1.23872,0.304714,0.741795,0.517,,3.47566,3.18951,3.54102,103.77999877929688,,,,"13743"
"Shota Imanaga","CHC",11.8786,10.1226,18.4444,3.66437,30.78,30.78,0,0,189.736,781.448,176.115,83.1292,77.2512,27.343,40.8861,,6.1414,191.726,9.09441,1.93941,4.68927,1.297,0.245347,0.0523209,0.19302602857351303,0.239801,1.1437,0.28868,0.749055,0.368326,,3.76252,3.18514,3.45647,73.88999938964844,,,,"33829"
"Hunter Brown","HOU",11.5467,9.7015,16.1867,3.71188,30.78,30.78,0,0,176.84,742.402,161.43,79.6724,72.9344,19.3542,60.9022,,6.8553,185.119,9.42132,3.09952,3.03961,0.985,0.249351,0.082034,0.16731703281402588,0.239281,1.25725,0.302178,0.730703,0.489321,,3.6451,3.1807,2.83756,100.88999938964844,,,,"25880"
"Yoshinobu Yamamoto","LAD",11.0471,7.95,14.9439,3.57942,27.54,27.54,0,0,158.592,654.799,144.432,68.6527,63.0743,18.9606,43.3346,,5.2836,166.676,9.45873,2.45921,3.84625,1.076,0.254545,0.06618,0.1883651241660118,0.238265,1.18396,0.298354,0.73882,0.456308,,3.53844,3.10063,3.00345,52.66999816894531,,,,"33825"
"Gerrit Cole","NYY",11.4685,10.5027,17.4632,3.91326,30.78,30.78,0,0,188.884,790.639,172.595,88.2241,82.1279,28.1647,52.4186,,6.737,197.824,9.426,2.49766,3.77393,1.342,0.250208,0.066299,0.1839090809226036,0.235952,1.19128,0.285721,0.73708,0.379259,,3.94981,3.09959,2.67965,54.439998626708984,,,,"13125"
"Freddy Peralta","MIL",11.1862,10.147,16.2134,3.75768,30.78,30.78,0,0,177.958,743.97,150.536,79.8374,74.3009,23.9452,63.0076,,8.2707,204.847,10.3599,3.18653,3.25115,1.211,0.275343,0.084691,0.19065219163894653,0.223781,1.19997,0.285178,0.742728,0.371585,,3.81511,3.07223,3.14257,85.77999877929688,,,,"18679"
"Yusei Kikuchi","LAA",11.1298,10.096,15.9031,3.76057,30.78,30.78,0,0,176.11,728.93,157.165,79.3704,73.5858,24.4401,54.7004,,6.0283,195.958,10.0144,2.79544,3.58239,1.249,0.26883,0.0750421,0.19378815591335297,0.235206,1.20303,0.296391,0.745823,0.420444,,3.77968,3.066,3.15573,136.6699981689453,,,,"20633"
"Michael King","SDP",11.6061,9.799,16.6721,3.69723,30.78,30.78,0,0,179.519,754.917,158.706,79.9964,73.7471,21.8615,64.0698,,7.5612,191.468,9.59904,3.21207,2.98843,1.096,0.253628,0.08487,0.16875801980495453,0.232269,1.24096,0.291186,0.742986,0.42192,,3.81352,3.05972,3.10124,66.44000244140625,,,,"19853"
